sample,n,clusters,first_stage_coef,first_stage_se,first_stage_t,first_stage_F_t2,reduced_form_coef,reduced_form_se,iv_coef_raw,iv_se_raw,iv_coef_pp,iv_se_pp,kind,region,weak_iv_flag_F_lt_10,ci_low_pp,ci_high_pp
All draft-exempt men,295611,1501,-0.009811369012299502,0.0005990491602780386,-16.378236817401962,268.24664124690116,-0.0017220720498966806,0.0007615307133345817,0.1755180187181793,0.07837052158146735,17.55180187181793,7.837052158146735,Baseline,,,,
,10476,1500,-0.0031325877794944465,0.003172908850108085,-0.9872920803847659,0.974745651990479,0.002552970175465411,0.004389001381575255,-0.8149716321358937,1.6234120694431553,-81.49716321358937,162.34120694431553,Region-specific,Patagonia,True,-399.68592882444784,236.69160239726907
,43907,1501,-0.005608154774358487,0.001595317432942827,-3.5153848748542273,12.357930818353871,0.0001749128156213786,0.0020904774587988963,-0.031189013614493888,0.37240315544670094,-3.118901361449389,37.240315544670096,Region-specific,NEA,False,-76.10991982900276,69.87211710610399
,21417,1501,-0.012267276947575904,0.0024981845426070674,-4.910476683509522,24.112781259290674,-0.0006019218795850843,0.002934911416263194,0.049067277289822187,0.23951049324567858,4.906727728982219,23.951049324567858,Region-specific,Cuyo,False,-42.037328947170785,51.85078440513522
,24952,1501,-0.01455848050892425,0.002069059421796188,-7.036279555608784,49.50922998467815,-0.0020689409161285762,0.0026480120103523196,0.1421124213381546,0.18272431603000813,14.21124213381546,18.272431603000815,Region-specific,GBA,False,-21.60272380806613,50.02520807569706
,156188,1501,-0.010960457034238742,0.0008749527972668055,-12.526912387133603,156.9235339549213,-0.002306755047885529,0.0009346813119772051,0.21046157479545968,0.08676579313779137,21.04615747954597,8.676579313779136,Region-specific,Pampeana,False,4.04006202453886,38.052252934553074
,38671,1501,-0.007556897210004331,0.001700674024380438,-4.443471883306583,19.744442377736153,-0.0025437355909663987,0.0022856962676103083,0.33661111436140345,0.31886551062350815,33.661111436140345,31.886551062350815,Region-specific,NOA,False,-28.83652864606725,96.15875151834794
