Variable,Full male cohorts,Draft-exempt analysis sample
Draft exempt,29.895580793924164,100.0
Failed medical examination,13.61061432901332,11.298870574058249
Public sector employee,16.742713719577377,16.576514405756214
Private sector employee,36.67717443400423,37.08860631031998
Attriter,9.302793641107456,9.126093612625962
Observations,1088114.0,325298.0
